fixture_id,mac,board,chip_revision,flash_mb,psram_mb,status,firmware_rev,firmware_sha256,battery_chemistry,battery_capacity_mah,charge_limit_ma,ota_profile,ota_verified,role,install_location,first_seen_utc,last_verified_utc,notes
4D5DB0,80:45:6B:4D:5D:B0,CoreS3,,,,enumerated,cores3-cb-0.1,,,,,,false,serial_bridge,desk bridge,2026-08-16T08:05:23Z,,Cambium binary bridge on COM43; never commission as a fixture
9D7884,D8:85:AC:9D:78:84,PowerFeather V2,0.2,8,2,commissioned,fx-260816-prtrel1-b,6305E9713CE1DD3FDDD37C66FEF4FAB84FB1D6782AEBD8723BB12E989243297E,Generic_LFP,6000,2000,Party In The Woods,true,,,2026-08-16T18:42:56Z,2026-08-16T18:43:26Z,Unassigned; likely inner-ring canopy/downlight candidate; 6 Ah provisional (set 15 Ah if large enclosure); class_ovr=0 AUTO
9E5954,D8:85:AC:9E:59:54,PowerFeather V2,0.2,8,2,commissioned,fx-260816-prtrel1-b,6305E9713CE1DD3FDDD37C66FEF4FAB84FB1D6782AEBD8723BB12E989243297E,Generic_LFP,6000,2000,Party In The Woods,true,,,2026-08-16T19:30:26Z,2026-08-16T19:30:51Z,Unassigned; tentative canopy/downlight or extra; 6 Ah provisional (set 15 Ah if large enclosure); class_ovr=0 AUTO
9E5A70,D8:85:AC:9E:5A:70,PowerFeather V2,0.2,8,2,commissioned,fx-260816-prtrel1-b,6305E9713CE1DD3FDDD37C66FEF4FAB84FB1D6782AEBD8723BB12E989243297E,Generic_LFP,6000,2000,Party In The Woods,true,,,2026-08-16T18:42:56Z,2026-08-16T18:44:00Z,Unassigned; likely inner-ring canopy/downlight candidate; 6 Ah provisional (set 15 Ah if large enclosure); class_ovr=0 AUTO
9E5A74,D8:85:AC:9E:5A:74,PowerFeather V2,,,,commission_failed,,,,,,,false,,,2026-08-16T22:35:23Z,,/dev/cu.usbmodem31401: telemetry did not recover: /dev/cu.usbmodem31401: no telemetry JSON within 10s
9E5A84,D8:85:AC:9E:5A:84,PowerFeather V2,0.2,8,2,commissioned,fixture-2026-08-10.2,C818BB4B2D507184C3C274D192A756C6E819A9CBF442C61B9928E5DA2DC1BCC1,Generic_LFP,15000,2000,Party In The Woods,true,downlight,outer hanging ring - position TBD,2026-08-09T02:31:04Z,2026-08-11T02:35:44Z,TMF-hardened OTA and rollback validation passed; one later bare-USB brownout retained valid .2; MSA/TMF/BMP healthy
9E5A94,D8:85:AC:9E:5A:94,PowerFeather V2,0.2,8,2,commissioned,fixture-2026-08-10.1,F7A75F222497879899A8578FC3ECE1C84B9DA3F6370BBAA427DB31493FDDC7A1,Generic_LFP,15000,2000,Party In The Woods,true,downlight,outer hanging ring - position TBD,2026-08-09T00:33:18Z,2026-08-11T00:51:49Z,Bare-board USB commissioning passed; shared-WiFi OTA endpoint verified
9E5A9C,D8:85:AC:9E:5A:9C,PowerFeather V2,0.2,8,2,commissioned,fx-260816-prtrel1-b,6305E9713CE1DD3FDDD37C66FEF4FAB84FB1D6782AEBD8723BB12E989243297E,Generic_LFP,6000,2000,Party In The Woods,true,,,2026-08-16T19:30:26Z,2026-08-16T19:31:09Z,Unassigned; tentative canopy/downlight or extra; 6 Ah provisional (set 15 Ah if large enclosure); class_ovr=0 AUTO
9E5AA0,D8:85:AC:9E:5A:A0,PowerFeather V2,0.2,8,2,commissioned,fx-260816-prtrel1-b,6305E9713CE1DD3FDDD37C66FEF4FAB84FB1D6782AEBD8723BB12E989243297E,Generic_LFP,6000,2000,Party In The Woods,true,,,2026-08-16T19:30:26Z,2026-08-16T19:30:53Z,Unassigned; tentative canopy/downlight or extra; 6 Ah provisional (set 15 Ah if large enclosure); class_ovr=0 AUTO
9E5AB0,D8:85:AC:9E:5A:B0,PowerFeather V2,0.2,8,2,commissioned,fx-260816-prtrel1-b,6305E9713CE1DD3FDDD37C66FEF4FAB84FB1D6782AEBD8723BB12E989243297E,Generic_LFP,6000,2000,Party In The Woods,true,uplight,trunk light - position TBD,2026-08-16T18:23:45Z,2026-08-16T18:24:09Z,Bare-board USB commissioning passed; shared-WiFi OTA endpoint verified; allocated to 6 Ah trunk-light fleet (runtime auto-probe)
